id,data_lotu,numer_lotu,linia_lotnicza,kierunek,czas_planowany,czas_rzeczywisty,status,ostatnia_aktualizacja
76,2026-04-13,KL 1326,KL,AMSTERDAM (AMS),2026-04-13 14:05:00,2026-04-13 14:29:00,Wystartował 14:29,2026-04-14 17:49:32
77,2026-04-13,EJU 7962,EJU,AMSTERDAM (AMS),2026-04-13 14:10:00,2026-04-13 14:43:00,Wystartował 14:43,2026-04-14 17:49:32
78,2026-04-13,FR 3435,FR,PARYŻ BEAUVAIS (BVA),2026-04-13 14:45:00,2026-04-13 14:50:00,Wystartował 14:50,2026-04-14 17:49:32
79,2026-04-13,OS 680,OS,WIEDEŃ (VIE),2026-04-13 14:50:00,2026-04-13 15:04:00,Wystartował 15:04,2026-04-14 17:49:32
80,2026-04-13,FR 3036,FR,BARCELONA (BCN),2026-04-13 14:55:00,2026-04-13 16:03:00,Wystartował 16:03,2026-04-14 17:49:32
81,2026-04-13,LO 3906,LO,WARSZAWA (WAW),2026-04-13 14:55:00,2026-04-13 15:38:00,Wystartował 15:38,2026-04-14 17:49:32
82,2026-04-13,FR 7933,FR,PODGORICA (TGD),2026-04-13 15:10:00,2026-04-13 15:11:00,Wystartował 15:11,2026-04-14 17:49:32
83,2026-04-13,LO 2161,LO,MADRYT (MAD),2026-04-13 15:10:00,2026-04-13 15:20:00,Wystartował 15:20,2026-04-14 17:49:32
84,2026-04-13,FR 4490,FR,ANKONA (AOI),2026-04-13 15:15:00,2026-04-13 15:25:00,Wystartował 15:25,2026-04-14 17:49:32
85,2026-04-13,W6 2073,W6,MALAGA (AGP),2026-04-13 15:25:00,2026-04-13 15:43:00,Wystartował 15:43,2026-04-14 17:49:32
86,2026-04-13,FR 042,FR,EINDHOVEN (EIN),2026-04-13 15:35:00,2026-04-13 15:46:00,Wystartował 15:46,2026-04-14 17:49:32
87,2026-04-13,PC 1748,PC,ANKARA (ESB),2026-04-13 15:40:00,2026-04-13 15:52:00,Wystartował 15:52,2026-04-14 17:49:32
88,2026-04-13,FR 6355,FR,ALICANTE (ALC),2026-04-13 16:15:00,2026-04-13 16:27:00,Wystartował 16:27,2026-04-14 17:49:32
89,2026-04-13,FR 7554,FR,TIRANA (TIA),2026-04-13 16:15:00,2026-04-13 16:40:00,Wystartował 16:40,2026-04-14 17:49:32
