threshold,encoding,resampling,model,mean_f1,std_f1,mean_balanced_accuracy,std_balanced_accuracy,mean_of_means,runs
25,label,smote,AdaBoost,0.3448335637587721,0.0052015373731116804,0.6092199849994763,0.0037639574452083416,0.4770267743791242,3
25,label,smote,XGBoost,0.3963441077404711,0.0019194257002797062,0.6436935312438976,0.0016100410548939876,0.5200188194921843,3
25,label,smote,Gaussian NB (GNB),0.329711457648005,0.000697009821527531,0.5981435228753172,0.0008779609094251054,0.46392749026166114,3
25,label,smote,Neural Network (MLP),0.3696500487748608,0.002344990466904787,0.6355444166224767,0.0008530326182482068,0.5025972326986687,3
25,label,undersample,Random Forest,0.39806630614757904,0.006829866718191479,0.6676623694748433,0.00622501814926649,0.5328643378112111,3
25,label,undersample,AdaBoost,0.36519391880837876,0.004311049591123481,0.6374908374168582,0.004214620501985473,0.5013423781126185,3
25,label,undersample,XGBoost,0.36575618930067844,0.0014355497951616318,0.6425885715559593,0.0017205684978976224,0.5041723804283189,3
25,label,undersample,Gaussian NB (GNB),0.3391633016750151,0.00486970866900072,0.6081860697915787,0.005103563264892421,0.47367468573329696,3
25,label,undersample,Neural Network (MLP),0.32959783507848844,0.011897147262740973,0.6010548120586245,0.010524824594880631,0.4653263235685565,3
25,label,smoteenn,Random Forest,0.39059316494334356,0.004533566595218803,0.641361011685698,0.0033478547256993677,0.5159770883145208,3
25,label,smoteenn,AdaBoost,0.36073189417176704,0.002263675209288954,0.6281872344075212,0.0022890009776136955,0.4944595642896441,3
25,label,smoteenn,XGBoost,0.394770488012659,0.0015306431436427211,0.652254322476567,0.0014332462066506207,0.523512405244613,3
25,label,smoteenn,Gaussian NB (GNB),0.3346163269574279,0.0009315117194598523,0.6036541565930098,0.001011605295117186,0.4691352417752188,3
25,label,smoteenn,Neural Network (MLP),0.36631854029194105,0.0014028296480405066,0.6368780615102643,0.001545085883248065,0.5015983009011027,3
25,label,smotetomek,Random Forest,0.3502430918025936,0.004459313651916655,0.6095273200634136,0.0026331646009657246,0.4798852059330036,3
25,label,smotetomek,AdaBoost,0.34366718303063243,0.003393528300625268,0.6087387786978461,0.0025677651225153152,0.4762029808642393,3
25,label,smotetomek,XGBoost,0.3973303540203849,0.005358863362420133,0.6434026502839987,0.003796363497050187,0.5203665021521918,3
25,label,smotetomek,Gaussian NB (GNB),0.3302810497589313,0.0013931921706539015,0.598757369153664,0.001632966171072753,0.46451920945629765,3
25,label,smotetomek,Neural Network (MLP),0.3685070272753768,0.003339073496486148,0.6351244398178263,0.0021824608770373943,0.5018157335466016,3
25,onehot,smote,Random Forest,0.3615146973614722,0.0026736481401473874,0.6165214538785716,0.0017620805089751496,0.48901807562002186,3
25,onehot,smote,AdaBoost,0.3558559029167018,0.003033503975958201,0.619564178262007,0.002498621284446091,0.4877100405893544,3
25,onehot,smote,XGBoost,0.41230609779421207,0.00605431106709151,0.6586876122398785,0.004650860533554883,0.5354968550170452,3
25,onehot,smote,Gaussian NB (GNB),0.29079222330609616,0.0006826791743659616,0.5221227445520975,0.0013307405945701353,0.40645748392909686,3
25,onehot,smote,Neural Network (MLP),0.3649436714658725,0.007097586201691349,0.6262156386536526,0.006197109655623477,0.49557965505976254,3
25,onehot,undersample,Random Forest,0.3978708166832399,0.00298470673788126,0.6674816509258353,0.002162331064064048,0.5326762338045377,3
25,onehot,undersample,AdaBoost,0.36459466781278166,0.003417338016334225,0.6372552477884809,0.003364097288605626,0.5009249578006313,3
25,onehot,undersample,XGBoost,0.3727973720990736,0.00026317974645313026,0.6525858661220605,0.00010106302023448136,0.512691619110567,3
25,onehot,undersample,Gaussian NB (GNB),0.19834977469907467,0.014437392897132256,0.5349111349810207,0.012126572365875441,0.3666304548400477,3
25,onehot,undersample,Neural Network (MLP),0.3549954262454255,0.009871988216875212,0.6251460147398012,0.010968367151141575,0.49007072049261335,3
25,onehot,smoteenn,Random Forest,0.3919215642912917,0.004566117388578914,0.6434197235065554,0.003350675032255366,0.5176706438989236,3
25,onehot,smoteenn,AdaBoost,0.36205420392154347,0.002928405418628727,0.6321424226380253,0.0032797966067794906,0.4970983132797844,3
25,onehot,smoteenn,XGBoost,0.4010689174282116,0.005022378498987006,0.6595535951683041,0.004232241289422589,0.5303112562982579,3
25,onehot,smoteenn,Gaussian NB (GNB),0.23867625182037186,0.008911966198521372,0.5484063844718517,0.010302923558008504,0.3935413181461118,3
25,onehot,smoteenn,Neural Network (MLP),0.3747571806243332,0.006090648210935191,0.6404049688870057,0.005804470735487494,0.5075810747556695,3
25,onehot,smotetomek,Random Forest,0.36384957344548424,0.0013338109924904418,0.6177887252901553,0.0009498379754790603,0.4908191493678198,3
25,onehot,smotetomek,AdaBoost,0.35376701750357215,0.0021451045274252186,0.6174503396281917,0.001811727958139752,0.48560867856588197,3
25,onehot,smotetomek,XGBoost,0.40855673641451395,0.010084534381755762,0.6552662902508773,0.007139670067562432,0.5319115133326957,3
25,onehot,smotetomek,Gaussian NB (GNB),0.2904078762795165,0.0010859103503597367,0.5215646415949654,0.00228773254596168,0.40598625893724094,3
25,onehot,smotetomek,Neural Network (MLP),0.37154529925089713,0.0055196026293149745,0.6311782637606018,0.005616986955888098,0.5013617815057495,3
