threshold,encoding,resampling,model,mean_f1,mean_balanced_accuracy,runs
20,label,smotetomek,Random Forest,0.41752259229909017,0.6248173798414879,3
20,label,smotetomek,XGBoost,0.4813475060941132,0.6659969192448117,3
20,label,undersample,AdaBoost,0.44919898562448995,0.638606938098648,3
20,label,undersample,Gaussian NB (GNB),0.42430729767996106,0.6156835712293453,3
20,label,undersample,Neural Network (MLP),0.4116134437605045,0.6038691693953461,3
20,label,undersample,Random Forest,0.4864715245436531,0.6740738981147105,3
20,label,undersample,XGBoost,0.4623175936826418,0.6521614450201877,3
20,onehot,smote,AdaBoost,0.42299377388542897,0.619908397440671,3
20,onehot,smote,Gaussian NB (GNB),0.3794094860161488,0.5319556856816944,3
20,onehot,smote,Neural Network (MLP),0.45580949504774254,0.6464322217624238,3
20,onehot,smote,Random Forest,0.42328816064438435,0.6273543629909698,3
20,onehot,smote,XGBoost,0.4907620226443663,0.675094613244985,3
20,onehot,smoteenn,AdaBoost,0.4405535373017029,0.630523321999665,3
20,onehot,smoteenn,Gaussian NB (GNB),0.22889346012571657,0.5415423644686096,3
20,onehot,smoteenn,Neural Network (MLP),0.4623595617422182,0.65154990767894,3
20,onehot,smoteenn,Random Forest,0.46760892463690684,0.6554139480683171,3
20,onehot,smoteenn,XGBoost,0.477704303468357,0.6648488011563881,3
20,onehot,smotetomek,AdaBoost,0.4175337329422644,0.6158420582469484,3
20,onehot,smotetomek,Gaussian NB (GNB),0.3807608758163013,0.5325375571121674,3
20,onehot,smotetomek,Neural Network (MLP),0.4508293571454089,0.642516194807544,3
20,onehot,smotetomek,Random Forest,0.4277876375495094,0.6299562678139218,3
20,onehot,smotetomek,XGBoost,0.48404383809483437,0.6688488864128891,3
20,onehot,undersample,AdaBoost,0.4536180123618852,0.6428629970969848,3
20,onehot,undersample,Gaussian NB (GNB),0.1919531983715347,0.5344740422757034,3
20,onehot,undersample,Neural Network (MLP),0.45212929564276755,0.6415978670792496,3
20,onehot,undersample,Random Forest,0.4862363057175932,0.6739045717908443,3
20,onehot,undersample,XGBoost,0.46062341707019944,0.6502715649982891,3
25,label,smote,AdaBoost,0.3448335637587721,0.6092199849994763,3
25,label,smote,Gaussian NB (GNB),0.329711457648005,0.5981435228753172,3
25,label,smote,Neural Network (MLP),0.3696500487748608,0.6355444166224767,3
25,label,smote,Random Forest,0.34937878846851284,0.6090236782326592,3
25,label,smote,XGBoost,0.3963441077404711,0.6436935312438976,3
25,label,smoteenn,AdaBoost,0.36073189417176704,0.6281872344075212,3
25,label,smoteenn,Gaussian NB (GNB),0.3346163269574279,0.6036541565930098,3
25,label,smoteenn,Neural Network (MLP),0.36631854029194105,0.6368780615102643,3
25,label,smoteenn,Random Forest,0.39059316494334356,0.641361011685698,3
25,label,smoteenn,XGBoost,0.394770488012659,0.652254322476567,3
25,label,smotetomek,AdaBoost,0.34366718303063243,0.6087387786978461,3
25,label,smotetomek,Gaussian NB (GNB),0.3302810497589313,0.598757369153664,3
25,label,smotetomek,Neural Network (MLP),0.3685070272753768,0.6351244398178263,3
25,label,smotetomek,Random Forest,0.3502430918025936,0.6095273200634136,3
25,label,smotetomek,XGBoost,0.3973303540203849,0.6434026502839987,3
25,label,undersample,AdaBoost,0.36519391880837876,0.6374908374168582,3
25,label,undersample,Gaussian NB (GNB),0.3391633016750151,0.6081860697915787,3
25,label,undersample,Neural Network (MLP),0.32959783507848844,0.6010548120586245,3
25,label,undersample,Random Forest,0.39806630614757904,0.6676623694748433,3
25,label,undersample,XGBoost,0.36575618930067844,0.6425885715559593,3
25,onehot,smote,AdaBoost,0.3558559029167018,0.619564178262007,3
25,onehot,smote,Gaussian NB (GNB),0.29079222330609616,0.5221227445520975,3
25,onehot,smote,Neural Network (MLP),0.3649436714658725,0.6262156386536526,3
25,onehot,smote,Random Forest,0.3615146973614722,0.6165214538785716,3
25,onehot,smote,XGBoost,0.41230609779421207,0.6586876122398785,3
25,onehot,smoteenn,AdaBoost,0.36205420392154347,0.6321424226380253,3
25,onehot,smoteenn,Gaussian NB (GNB),0.23867625182037186,0.5484063844718517,3
25,onehot,smoteenn,Neural Network (MLP),0.3747571806243332,0.6404049688870057,3
25,onehot,smoteenn,Random Forest,0.3919215642912917,0.6434197235065554,3
25,onehot,smoteenn,XGBoost,0.4010689174282116,0.6595535951683041,3
25,onehot,smotetomek,AdaBoost,0.35376701750357215,0.6174503396281917,3
25,onehot,smotetomek,Gaussian NB (GNB),0.2904078762795165,0.5215646415949654,3
25,onehot,smotetomek,Neural Network (MLP),0.37154529925089713,0.6311782637606018,3
25,onehot,smotetomek,Random Forest,0.36384957344548424,0.6177887252901553,3
25,onehot,smotetomek,XGBoost,0.40855673641451395,0.6552662902508773,3
25,onehot,undersample,AdaBoost,0.36459466781278166,0.6372552477884809,3
25,onehot,undersample,Gaussian NB (GNB),0.19834977469907467,0.5349111349810207,3
25,onehot,undersample,Neural Network (MLP),0.3549954262454255,0.6251460147398012,3
25,onehot,undersample,Random Forest,0.3978708166832399,0.6674816509258353,3
25,onehot,undersample,XGBoost,0.3727973720990736,0.6525858661220605,3
